#,Symbol,Company,Index,Unnamed: 4,Unnamed: 5,Unnamed: 6
353.0,AVB,AvalonBay Communities,S&P500,,,
354.0,DRI,Darden Restaurants,S&P500,,,
355.0,EXPE,Expedia Group,S&P500,,,
356.0,IP,International Paper,S&P500,,,
357.0,CPAY,Corpay,S&P500,,,
358.0,STE,Steris,S&P500,,,
359.0,KEY,KeyCorp,S&P500,,,
360.0,CHD,Church & Dwight,S&P500,,,
361.0,EQR,Equity Residential,S&P500,,,
362.0,GIS,General Mills,S&P500,,,
363.0,EFX,Equifax,S&P500,,,
364.0,Q,Qnity Electronics,S&P500,,,
365.0,CTRA,Coterra,S&P500,,,
366.0,BRO,Brown & Brown,S&P500,,,
367.0,BG,Bunge Global,S&P500,,,
368.0,LH,LabCorp,S&P500,,,
369.0,AMCR,Amcor,S&P500,,,
370.0,RL,Ralph Lauren Corporation,S&P500,,,
371.0,CMS,CMS Energy,S&P500,,,
372.0,VLTO,Veralto,S&P500,,,
373.0,GPN,Global Payments,S&P500,,,
374.0,HUM,Humana,S&P500,,,
375.0,L,Loews Corporation,S&P500,,,
376.0,CHRW,C.H. Robinson,S&P500,,,
377.0,TSN,Tyson Foods,S&P500,,,
378.0,DGX,Quest Diagnostics,S&P500,,,
379.0,LDOS,Leidos,S&P500,,,
380.0,LULU,Lululemon Athletica,S&P500,,,
381.0,NI,NiSource,S&P500,,,
382.0,DOW,Dow Inc.,S&P500,,,
383.0,JBHT,J.B. Hunt,S&P500,,,
384.0,PKG,Packaging Corporation of America,S&P500,,,
385.0,SBAC,SBA Communications,S&P500,,,
386.0,CNC,Centene Corporation,S&P500,,,
387.0,NVR,"NVR, Inc.",S&P500,,,
388.0,CSGP,CoStar Group,S&P500,,,
389.0,EXPD,Expeditors International,S&P500,,,
390.0,IFF,International Flavors & Fragrances,S&P500,,,
391.0,PFG,Principal Financial Group,S&P500,,,
392.0,TROW,T. Rowe Price,S&P500,,,
393.0,BR,Broadridge Financial Solutions,S&P500,,,
394.0,DD,DuPont,S&P500,,,
395.0,NTAP,NetApp,S&P500,,,
396.0,INCY,Incyte,S&P500,,,
397.0,SNA,Snap-on,S&P500,,,
398.0,ALB,Albemarle Corporation,S&P500,,,
399.0,VRSN,Verisign,S&P500,,,
400.0,ZBH,Zimmer Biomet,S&P500,,,
401.0,LII,Lennox International,S&P500,,,
402.0,MRNA,Moderna,S&P500,,,
403.0,SMCI,Supermicro,S&P500,,,
404.0,EVRG,Evergy,S&P500,,,
405.0,PTC,PTC Inc.,S&P500,,,
406.0,MKC,McCormick & Company,S&P500,,,
407.0,VTRS,Viatris,S&P500,,,
408.0,FTV,Fortive,S&P500,,,
409.0,LNT,Alliant Energy,S&P500,,,
410.0,LYB,LyondellBasell,S&P500,,,
411.0,WY,Weyerhaeuser,S&P500,,,
412.0,BALL,Ball Corporation,S&P500,,,
413.0,TXT,Textron,S&P500,,,
414.0,WST,West Pharmaceutical Services,S&P500,,,
415.0,HII,Huntington Ingalls Industries,S&P500,,,
416.0,HPQ,HP Inc.,S&P500,,,
417.0,PODD,Insulet Corporation,S&P500,,,
418.0,APTV,Aptiv,S&P500,,,
419.0,DECK,Deckers Brands,S&P500,,,
420.0,HOLX,Hologic,S&P500,,,
421.0,PNR,Pentair,S&P500,,,
422.0,TKO,TKO Group Holdings,S&P500,,,
423.0,COO,Cooper Companies (The),S&P500,,,
424.0,GPC,Genuine Parts Company,S&P500,,,
425.0,ESS,Essex Property Trust,S&P500,,,
426.0,CDW,CDW,S&P500,,,
427.0,J,Jacobs Solutions,S&P500,,,
428.0,NDSN,Nordson Corporation,S&P500,,,
429.0,TRMB,Trimble Inc.,S&P500,,,
430.0,FFIV,"F5, Inc.",S&P500,,,
431.0,KIM,Kimco Realty,S&P500,,,
